interval60,Temperature,Precipitation,Wind_Speed
2025-07-07T03:00:00Z,79,0,5
2025-07-07T04:00:00Z,78,0,6
2025-07-07T05:00:00Z,77,0,3
2025-07-07T06:00:00Z,77,0,3
2025-07-07T07:00:00Z,77,0,4
2025-07-07T08:00:00Z,77,0,4
2025-07-07T09:00:00Z,77,0,3
2025-07-07T10:00:00Z,77,0,4
2025-07-07T11:00:00Z,79,0,3
2025-07-07T12:00:00Z,82.4,0,4
2025-07-07T13:00:00Z,84,0,4
2025-07-07T14:00:00Z,85,0,6
2025-07-07T15:00:00Z,89,0,7
2025-07-07T16:00:00Z,89,1e-4,6
2025-07-07T17:00:00Z,90,0,8
2025-07-07T18:00:00Z,89,0,6
2025-07-07T19:00:00Z,88,0,7
2025-07-07T20:00:00Z,83,0.01,8
2025-07-07T21:00:00Z,81,1e-4,6
2025-07-07T22:00:00Z,82,1e-4,6
2025-07-07T23:00:00Z,82,1e-4,5
2025-07-08T00:00:00Z,80,1e-4,5
2025-07-08T01:00:00Z,81,0,7
2025-07-08T02:00:00Z,80,0,5
2025-07-08T03:00:00Z,79,0,7
2025-07-08T04:00:00Z,79,0,6
2025-07-08T05:00:00Z,79,0,3
2025-07-08T06:00:00Z,78,0,0
2025-07-08T07:00:00Z,78,0,3
2025-07-08T08:00:00Z,78,0,4
2025-07-08T09:00:00Z,78,0,3
2025-07-08T10:00:00Z,80,0,6
2025-07-08T11:00:00Z,81,0,6
2025-07-08T12:00:00Z,84,0,7
2025-07-08T13:00:00Z,87,0,10
2025-07-08T14:00:00Z,89,0,10
2025-07-08T15:00:00Z,90,0,8
2025-07-08T16:00:00Z,92,0,9
2025-07-08T17:00:00Z,93,0,10
2025-07-08T18:00:00Z,94,0,11
2025-07-08T19:00:00Z,94,0,7
2025-07-08T20:00:00Z,94,0,10
2025-07-08T21:00:00Z,88,0,21
2025-07-08T22:00:00Z,78,1e-4,25
2025-07-08T23:00:00Z,76,0.02,11
2025-07-09T00:00:00Z,75,0.03,4
2025-07-09T01:00:00Z,75,0,4
2025-07-09T02:00:00Z,76,0,8
2025-07-09T03:00:00Z,75,0,9
2025-07-09T04:00:00Z,75,0,11
2025-07-09T05:00:00Z,75,0,8
2025-07-09T06:00:00Z,75,0,6
2025-07-09T07:00:00Z,75,0,4
2025-07-09T08:00:00Z,75,0,6
2025-07-09T09:00:00Z,75,0,0
2025-07-09T10:00:00Z,75,0,3
2025-07-09T11:00:00Z,77,0,0
2025-07-09T12:00:00Z,81,0,6
2025-07-09T13:00:00Z,83,0,4
